Item,n_dots,mean_radius,total_area,mean_pairwise_distance,convex_hull_volume,density
id_0_dots_5.png,5,7.944124044404863,1033.4478001999453,70.11251485483388,4221.5341560833895,0.24480384665624655
id_1_dots_6.png,6,6.985249821450559,988.880726949597,63.661257899025955,4968.712815741531,0.1990215099203749
id_2_dots_7.png,7,6.367856382413717,967.2759305488355,73.00313885425847,5907.068320354052,0.1637488984537189
id_3_dots_8.png,8,6.092351838036403,994.8666871376788,69.32195121207215,6531.0122019882865,0.15232963227886848
id_4_dots_9.png,9,5.77334927156996,976.8317591736691,80.03824255182333,9314.43532302035,0.10487289087288612
id_5_dots_10.png,10,5.517851711349254,1014.8949502629553,63.67236758308953,6994.728501238351,0.14509425921010052
id_6_dots_11.png,11,5.0889817774562855,967.6842300455061,73.67754497187713,9897.80399601076,0.09776756848645662
id_7_dots_12.png,12,4.965214341606438,957.9350026978549,72.99242090887948,10396.82809375038,0.0921372359011762
id_8_dots_13.png,13,4.774124772614054,988.1525557001999,69.23428568607916,8719.993622372456,0.11332033009346999
id_9_dots_14.png,14,4.73637252766275,1024.861962505238,68.30712258541143,8894.69916872095,0.11522165540002317
id_10_dots_15.png,15,4.521779351275189,1029.9040718939252,71.19740432816322,10023.473743275877,0.10274921631683064
id_11_dots_16.png,16,4.275338672759926,997.7292856699978,71.43261982605937,11429.636660798766,0.08729317608949005
id_12_dots_17.png,17,4.143692627303418,1001.6743285540106,71.02446961392975,10019.77306035072,0.0999697620415915
id_13_dots_18.png,18,4.060257026123015,984.4847518190016,69.56582031544957,11184.444430106498,0.08802267810182392
id_14_dots_19.png,19,4.0184977339328105,1003.5842868092836,65.38093158515409,10633.369831026324,0.09438064346083394
id_15_dots_20.png,20,3.885987044664907,1021.5328823633597,72.85307413009754,12886.187040253712,0.0792734793598997
id_16_dots_21.png,21,3.836902774052182,1037.8086910534012,68.63821297090072,11146.562877083457,0.09310571361751901
id_17_dots_5.png,5,5.232518921577537,445.3179848611835,69.6994459493204,4704.0848421771525,0.09466623154166597
id_18_dots_6.png,6,5.246675299071427,529.6718627884197,53.16732571829768,3190.4015830457065,0.16602043629967428
id_19_dots_7.png,7,5.0854707610876115,613.2564323254772,65.05574295622516,5598.661402259767,0.10953626023498239
id_20_dots_8.png,8,4.770231909136621,589.2163963652857,73.41755250006301,8589.932701006532,0.06859383150885966
id_21_dots_9.png,9,5.089894144728541,794.689446508328,59.40779340615385,5619.65192522606,0.14141257449434652
id_22_dots_10.png,10,5.217149756706026,892.3239033753144,66.35666901441763,7365.292377914064,0.12115254325151868
id_23_dots_11.png,11,4.879914237254464,891.9619599110555,72.24417070374,9325.318635695407,0.09564948874742019
id_24_dots_12.png,12,5.057607369680249,1045.0370160921316,67.38714963740189,7539.536710664072,0.138607590386026
id_25_dots_13.png,13,5.195980092015038,1166.3236345061664,74.51688455526316,10732.577267799188,0.10867134756210627
id_26_dots_14.png,14,4.8434600585525205,1064.255885832553,67.59821654247553,9762.895653671927,0.10901026945138713
id_27_dots_15.png,15,5.209752769534831,1350.8563085630053,67.62551096427633,9493.326819039215,0.1422953548648313
id_28_dots_16.png,16,4.752362996970309,1224.0269139069023,68.43638929662693,11074.053827033315,0.11053106053348606
id_29_dots_17.png,17,5.096014598604064,1447.1476246340521,70.42758135880892,11578.18641420412,0.12498914535170132
id_30_dots_18.png,18,4.7615062703127835,1412.0457970793248,70.88783117927156,10964.463077585639,0.12878385262347525
id_31_dots_19.png,19,5.2470941060341625,1766.9862877009614,71.86745638925494,10868.94577041758,0.16257200330415067
id_32_dots_20.png,20,4.868580651831848,1586.4200246121093,68.91609461887127,11631.86594393622,0.13638568672115087
id_33_dots_21.png,21,4.95023443453883,1832.634797870529,67.0961444105312,11170.918769509632,0.1640540796762929
