,left_num,right_num,solution,ratio,bucket
0,14,11,RIGHT,1.27,0
1,20,9,RIGHT,2.22,2
2,18,6,RIGHT,3.0,2
3,14,13,RIGHT,1.08,0
4,22,7,RIGHT,3.14,3
5,20,5,RIGHT,4.0,3
6,12,8,RIGHT,1.5,1
7,20,19,RIGHT,1.05,0
8,20,14,RIGHT,1.43,1
9,17,6,RIGHT,2.83,2
10,16,6,RIGHT,2.67,2
11,8,6,RIGHT,1.33,1
12,9,7,RIGHT,1.29,0
13,21,9,RIGHT,2.33,2
14,16,12,RIGHT,1.33,1
15,13,7,RIGHT,1.86,1
16,21,10,RIGHT,2.1,2
17,21,18,RIGHT,1.17,0
18,18,16,RIGHT,1.12,0
19,17,16,RIGHT,1.06,0
20,11,14,LEFT,1.27,0
21,9,20,LEFT,2.22,2
22,6,18,LEFT,3.0,2
23,13,14,LEFT,1.08,0
24,7,22,LEFT,3.14,3
25,5,20,LEFT,4.0,3
26,8,12,LEFT,1.5,1
27,19,20,LEFT,1.05,0
28,14,20,LEFT,1.43,1
29,6,17,LEFT,2.83,2
30,6,16,LEFT,2.67,2
31,6,8,LEFT,1.33,1
32,7,9,LEFT,1.29,0
33,9,21,LEFT,2.33,2
34,12,16,LEFT,1.33,1
35,7,13,LEFT,1.86,1
36,10,21,LEFT,2.1,2
37,18,21,LEFT,1.17,0
38,16,18,LEFT,1.12,0
39,16,17,LEFT,1.06,0
