left,middle,right,solution,direction,overall_distance,inter_distance
1,2,3,IN_ORDER,ASCENDING,2,1
1,3,5,IN_ORDER,ASCENDING,4,2
1,4,7,IN_ORDER,ASCENDING,6,3
2,3,4,IN_ORDER,ASCENDING,2,1
2,4,6,IN_ORDER,ASCENDING,4,2
2,5,8,IN_ORDER,ASCENDING,6,3
3,4,5,IN_ORDER,ASCENDING,2,1
3,5,7,IN_ORDER,ASCENDING,4,2
3,6,9,IN_ORDER,ASCENDING,6,3
4,5,6,IN_ORDER,ASCENDING,2,1
4,6,8,IN_ORDER,ASCENDING,4,2
5,6,7,IN_ORDER,ASCENDING,2,1
5,7,9,IN_ORDER,ASCENDING,4,2
6,7,8,IN_ORDER,ASCENDING,2,1
7,8,9,IN_ORDER,ASCENDING,2,1
3,2,1,IN_ORDER,DESCENDING,2,1
5,3,1,IN_ORDER,DESCENDING,4,2
7,4,1,IN_ORDER,DESCENDING,6,3
4,3,2,IN_ORDER,DESCENDING,2,1
6,4,2,IN_ORDER,DESCENDING,4,2
8,5,2,IN_ORDER,DESCENDING,6,3
7,5,3,IN_ORDER,DESCENDING,4,2
9,6,3,IN_ORDER,DESCENDING,6,3
6,5,4,IN_ORDER,DESCENDING,2,1
8,6,4,IN_ORDER,DESCENDING,4,2
7,6,5,IN_ORDER,DESCENDING,2,1
9,7,5,IN_ORDER,DESCENDING,4,2
8,7,6,IN_ORDER,DESCENDING,2,1
1,5,3,MIXED_ORDER,ASCENDING,4,2
2,6,4,MIXED_ORDER,ASCENDING,4,2
3,5,4,MIXED_ORDER,ASCENDING,2,1
3,9,6,MIXED_ORDER,ASCENDING,6,3
4,8,6,MIXED_ORDER,ASCENDING,4,2
5,9,7,MIXED_ORDER,ASCENDING,4,2
2,3,1,MIXED_ORDER,ASCENDING,2,1
4,7,1,MIXED_ORDER,ASCENDING,6,3
5,8,2,MIXED_ORDER,ASCENDING,6,3
5,7,3,MIXED_ORDER,ASCENDING,4,2
5,6,4,MIXED_ORDER,ASCENDING,2,1
7,8,6,MIXED_ORDER,ASCENDING,2,1
3,1,2,MIXED_ORDER,DESCENDING,2,1
7,1,4,MIXED_ORDER,DESCENDING,6,3
4,2,3,MIXED_ORDER,DESCENDING,2,1
8,2,5,MIXED_ORDER,DESCENDING,6,3
7,3,5,MIXED_ORDER,DESCENDING,4,2
6,4,5,MIXED_ORDER,DESCENDING,2,1
7,5,6,MIXED_ORDER,DESCENDING,2,1
3,1,5,MIXED_ORDER,DESCENDING,4,2
4,2,6,MIXED_ORDER,DESCENDING,4,2
6,3,9,MIXED_ORDER,DESCENDING,6,3
6,4,8,MIXED_ORDER,DESCENDING,4,2
7,5,9,MIXED_ORDER,DESCENDING,4,2
8,7,9,MIXED_ORDER,DESCENDING,2,1
1,3,5,IN_ORDER,ASCENDING,4,2
1,4,7,IN_ORDER,ASCENDING,6,3
2,3,4,IN_ORDER,ASCENDING,2,1
2,4,6,IN_ORDER,ASCENDING,4,2
2,5,8,IN_ORDER,ASCENDING,6,3
3,5,7,IN_ORDER,ASCENDING,4,2
3,6,9,IN_ORDER,ASCENDING,6,3
4,5,6,IN_ORDER,ASCENDING,2,1
4,6,8,IN_ORDER,ASCENDING,4,2
5,7,9,IN_ORDER,ASCENDING,4,2
6,7,8,IN_ORDER,ASCENDING,2,1
5,3,1,IN_ORDER,DESCENDING,4,2
7,4,1,IN_ORDER,DESCENDING,6,3
4,3,2,IN_ORDER,DESCENDING,2,1
6,4,2,IN_ORDER,DESCENDING,4,2
8,5,2,IN_ORDER,DESCENDING,6,3
5,4,3,IN_ORDER,DESCENDING,2,1
7,5,3,IN_ORDER,DESCENDING,4,2
9,6,3,IN_ORDER,DESCENDING,6,3
6,5,4,IN_ORDER,DESCENDING,2,1
8,6,4,IN_ORDER,DESCENDING,4,2
9,7,5,IN_ORDER,DESCENDING,4,2
8,7,6,IN_ORDER,DESCENDING,2,1
9,8,7,IN_ORDER,DESCENDING,2,1
1,5,3,MIXED_ORDER,ASCENDING,4,2
2,6,4,MIXED_ORDER,ASCENDING,4,2
3,5,4,MIXED_ORDER,ASCENDING,2,1
3,9,6,MIXED_ORDER,ASCENDING,6,3
4,8,6,MIXED_ORDER,ASCENDING,4,2
5,9,7,MIXED_ORDER,ASCENDING,4,2
7,9,8,MIXED_ORDER,ASCENDING,2,1
2,3,1,MIXED_ORDER,ASCENDING,2,1
4,7,1,MIXED_ORDER,ASCENDING,6,3
5,8,2,MIXED_ORDER,ASCENDING,6,3
5,7,3,MIXED_ORDER,ASCENDING,4,2
5,6,4,MIXED_ORDER,ASCENDING,2,1
6,7,5,MIXED_ORDER,ASCENDING,2,1
7,8,6,MIXED_ORDER,ASCENDING,2,1
3,1,2,MIXED_ORDER,DESCENDING,2,1
7,1,4,MIXED_ORDER,DESCENDING,6,3
4,2,3,MIXED_ORDER,DESCENDING,2,1
8,2,5,MIXED_ORDER,DESCENDING,6,3
7,3,5,MIXED_ORDER,DESCENDING,4,2
6,4,5,MIXED_ORDER,DESCENDING,2,1
3,1,5,MIXED_ORDER,DESCENDING,4,2
4,2,6,MIXED_ORDER,DESCENDING,4,2
4,3,5,MIXED_ORDER,DESCENDING,2,1
6,3,9,MIXED_ORDER,DESCENDING,6,3
6,4,8,MIXED_ORDER,DESCENDING,4,2
7,5,9,MIXED_ORDER,DESCENDING,4,2
8,7,9,MIXED_ORDER,DESCENDING,2,1
1,4,7,IN_ORDER,ASCENDING,6,3
2,5,8,IN_ORDER,ASCENDING,6,3
3,6,9,IN_ORDER,ASCENDING,6,3
2,5,8,IN_ORDER,ASCENDING,6,3
7,4,1,IN_ORDER,DESCENDING,6,3
8,5,2,IN_ORDER,DESCENDING,6,3
9,6,3,IN_ORDER,DESCENDING,6,3
8,5,2,IN_ORDER,DESCENDING,6,3
3,9,6,MIXED_ORDER,ASCENDING,6,3
4,7,1,MIXED_ORDER,ASCENDING,6,3
5,8,2,MIXED_ORDER,ASCENDING,6,3
4,7,1,MIXED_ORDER,ASCENDING,6,3
7,1,4,MIXED_ORDER,DESCENDING,6,3
8,2,5,MIXED_ORDER,DESCENDING,6,3
6,3,9,MIXED_ORDER,DESCENDING,6,3
8,2,5,MIXED_ORDER,DESCENDING,6,3
